AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
158.0,Hà Nội,PM2.5,7.0,22.0,53.0,20.0,2.0,1015.0,94.0,158.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.00577,105.74842
188.0,Hà Nội,PM2.5,17.0,22.0,53.0,37.0,2.0,1015.0,152.0,188.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.05121,105.78232
159.0,Hà Nội,PM2.5,9.0,22.0,58.0,18.0,2.0,1016.0,95.0,159.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.0072,105.83572
212.0,Cao Bằng,PM10,5.0,23.7,83.6,1.0,1.0,989.4,212.0,208.0,2.0,17.1,1.0,2021-01-22 13:00:00,Very unhealthy,22.6782,106.245
114.0,Hồ Chí Minh,PM2.5,5.0,25.0,49.0,10.0,6.5,1007.0,42.0,114.0,5.0,32.0,1.5,2021-01-23 15:00:00,Unhealthy for sensitive groups,10.782978,106.700711
180.0,Hà Nội,aqi,6.0,22.0,49.0,18.0,2.0,1013.0,49.0,65.0,2.0,23.0,3.0,2021-01-23 14:00:00,Unhealthy,21.0811211,105.8180306
189.0,Hà Nội,PM2.5,0.2,22.0,49.0,8.7,3.7,1013.0,49.0,189.0,4.6,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.0215063,105.8188748
26.0,Gia Lai,PM2.5,4.0,20.4,62.1,12.0,20.0,924.2,25.0,26.0,1.0,25.8,2.0,2021-01-23 15:00:00,Good,13.998599,107.996482
157.0,Thừa Thiên Huế,PM2.5,2.0,23.0,70.5,10.0,6.5,1013.5,52.0,68.0,5.0,22.5,4.1,2021-01-23 15:00:00,Unhealthy,16.46226,107.596351
169.0,Hà Nội,PM2.5,11.0,22.0,49.0,28.0,2.0,1013.5,123.0,169.0,2.0,23.0,3.3,2021-01-23 13:00:00,Unhealthy,21.04975,105.74187
176.0,Bắc Ninh,PM2.5,9.0,22.0,68.0,16.0,24.0,1017.0,102.0,176.0,4.0,19.0,0.5,2021-01-23 11:00:00,Unhealthy,21.1137452,105.9268934
151.0,Lào Cai,PM2.5,40.0,23.9,73.1,2.0,1.0,1002.2,55.0,151.0,150.0,20.9,2.0,2021-01-23 15:00:00,Unhealthy,22.3221386,104.1214227
65.0,Hạ Long,PM2.5,5.0,24.65,81.3,9.0,61.0,1000.4,34.0,65.0,5.0,23.7,2.0,2021-01-23 15:00:00,Moderate,20.9416,107.1158
51.0,Quảng Ninh,PM2.5,7.0,24.0,81.3,8.0,6.5,1000.4,29.0,51.0,14.0,23.7,2.0,2021-01-23 14:00:00,Moderate,21.0357507,106.7641068
226.0,Bắc Ninh,PM2.5,6.0,22.0,49.0,20.0,41.0,1012.0,136.0,226.0,6.0,23.0,3.0,2021-01-23 15:00:00,Very unhealthy,21.1232473,106.2883295
214.0,Bắc Ninh,PM2.5,1.0,22.0,49.0,13.0,9.0,1012.0,128.0,214.0,16.0,23.0,3.0,2021-01-23 15:00:00,Very unhealthy,21.0272212,106.0342099
170.0,Hà Nội,PM2.5,40.0,22.0,49.0,37.0,2.0,1013.0,130.0,170.0,2.0,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.03982,105.84726
149.0,Hà Nội,PM2.5,7.0,22.0,49.0,33.0,2.0,1013.5,81.0,149.0,2.0,23.0,3.3,2021-01-23 13:00:00,Unhealthy for sensitive groups,20.98832,105.854897
157.0,Hà Nội,PM2.5,9.0,22.0,49.0,35.0,2.0,1013.0,92.0,157.0,2.0,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.01994,105.77056
160.0,Hà Nội,PM2.5,10.0,22.0,49.0,23.0,4.0,1013.5,106.0,160.0,1.0,23.0,3.3,2021-01-23 13:00:00,Unhealthy,21.01525,105.80013
93.0,Đà Nẵng,PM2.5,3.0,23.0,68.5,1.0,45.0,1012.0,25.0,32.0,6.0,23.5,5.4,2021-01-23 15:00:00,Moderate,16.074,108.217
147.0,Nha Trang,PM2.5,2.0,23.0,69.0,2.0,32.0,1011.0,42.0,54.0,3.0,26.0,9.2,2021-01-23 15:00:00,Unhealthy for sensitive groups,12.284358,109.192524
167.0,Hà Nội,PM2.5,13.0,22.0,49.0,20.0,2.0,1013.0,123.0,167.0,2.0,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.02022,105.81232
